"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","Regulation"
"GO:0045916","negative regulation of complement activation","3/9","11/11181",0.272727272727273,338.818181818182,31.8148199056029,5.93184615518654e-08,0.000249648157169949,0.000249648157169949,"CLU/C4BPA/C4BPB",3,"Downregulated"
"GO:0002921","negative regulation of humoral immune response","3/9","13/11181",0.230769230769231,286.692307692308,29.252245769381,1.02735867148127e-07,0.000249648157169949,0.000249648157169949,"CLU/C4BPA/C4BPB",3,"Downregulated"
"GO:0030449","regulation of complement activation","3/9","19/11181",0.157894736842105,196.157894736842,24.1639878610234,3.47240215199337e-07,0.000562529148622925,0.000562529148622925,"CLU/C4BPA/C4BPB",3,"Downregulated"
"GO:0006958","complement activation, classical pathway","3/9","22/11181",0.136363636363636,169.409090909091,22.4409338778449,5.51190781920991e-07,0.000669696800034004,0.000669696800034004,"CLU/C4BPA/C4BPB",3,"Downregulated"
"GO:0002455","humoral immune response mediated by circulating immunoglobulin","3/9","27/11181",0.111111111111111,138.037037037037,20.2339752712713,1.04479699466968e-06,0.00101554267881893,0.00101554267881893,"CLU/C4BPA/C4BPB",3,"Downregulated"
"GO:0002920","regulation of humoral immune response","3/9","29/11181",0.103448275862069,128.51724137931,19.5149849404993,1.30414073477327e-06,0.00105635399516635,0.00105635399516635,"CLU/C4BPA/C4BPB",3,"Downregulated"
"GO:0006956","complement activation","3/9","33/11181",0.0909090909090909,112.939393939394,18.2775564598296,1.94415072276896e-06,0.00134979607323673,0.00134979607323673,"CLU/C4BPA/C4BPB",3,"Downregulated"
"GO:0050777","negative regulation of immune response","4/9","147/11181",0.0272108843537415,33.8049886621315,11.3634122481432,3.43366222974711e-06,0.00208594980457137,0.00208594980457137,"CLU/C4BPA/DRD2/C4BPB",4,"Downregulated"
"GO:0002698","negative regulation of immune effector process","3/9","82/11181",0.0365853658536585,45.4512195121951,11.466354743331,3.09388220810819e-05,0.0139438986567021,0.0139438986567021,"CLU/C4BPA/C4BPB",3,"Downregulated"
"GO:0016064","immunoglobulin mediated immune response","3/9","82/11181",0.0365853658536585,45.4512195121951,11.466354743331,3.09388220810819e-05,0.0139438986567021,0.0139438986567021,"CLU/C4BPA/C4BPB",3,"Downregulated"
"GO:1903027","regulation of opsonization","2/9","11/11181",0.181818181818182,225.878787878788,21.178487488292,3.15602644493258e-05,0.0139438986567021,0.0139438986567021,"C4BPA/C4BPB",2,"Downregulated"
"GO:0019724","B cell mediated immunity","3/9","86/11181",0.0348837209302326,43.3372093023256,11.1862492767029,3.56951800286968e-05,0.0144565479116222,0.0144565479116222,"CLU/C4BPA/C4BPB",3,"Downregulated"
"GO:0008228","opsonization","2/9","13/11181",0.153846153846154,191.128205128205,19.4673669341195,4.47208271960159e-05,0.016718709244049,0.016718709244049,"C4BPA/C4BPB",2,"Downregulated"
"GO:0006910","phagocytosis, recognition","2/9","16/11181",0.125,155.291666666667,17.528703338176,6.87151301210067e-05,0.0238539665991495,0.0238539665991495,"C4BPA/C4BPB",2,"Downregulated"
"GO:0009617","response to bacterium","4/9","364/11181",0.010989010989011,13.6520146520146,6.96520103915164,0.000122274917748426,0.037500689151662,0.037500689151662,"PRG2/C4BPA/C4BPB/EPX",4,"Downregulated"
"GO:0002683","negative regulation of immune system process","4/9","367/11181",0.0108991825613079,13.5404178019982,6.93311730582401,0.000126234615012827,0.037500689151662,0.037500689151662,"CLU/C4BPA/DRD2/C4BPB",4,"Downregulated"
"GO:0006959","humoral immune response","3/9","133/11181",0.0225563909774436,28.0225563909774,8.89789163898581,0.000131175250118982,0.037500689151662,0.037500689151662,"CLU/C4BPA/C4BPB",3,"Downregulated"
